open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1644278400000,0.00000210,0.00000212,0.00000184,0.00000190,27190318.00000000,1644364799999,52.40388234,7529,13748367.00000000,26.50125709,0
1644364800000,0.00000190,0.00000193,0.00000182,0.00000186,12696562.00000000,1644451199999,23.64665159,2702,7538767.00000000,14.07521300,0
1644451200000,0.00000186,0.00000186,0.00000177,0.00000182,5300034.00000000,1644537599999,9.60547147,1726,2395375.00000000,4.34503691,0
1644537600000,0.00000181,0.00000192,0.00000181,0.00000188,18618496.00000000,1644623999999,34.82284884,3853,11020680.00000000,20.62885048,0
1644624000000,0.00000187,0.00000214,0.00000186,0.00000201,28158839.00000000,1644710399999,56.21649834,6924,13299680.00000000,26.54193170,0
1644710400000,0.00000201,0.00000208,0.00000188,0.00000198,25121097.00000000,1644796799999,49.76588589,4494,13043347.00000000,25.87182120,0
1644796800000,0.00000198,0.00000214,0.00000195,0.00000202,13341270.00000000,1644883199999,26.82610417,3695,7504266.00000000,15.08814402,0
1644883200000,0.00000201,0.00000205,0.00000198,0.00000204,7027034.00000000,1644969599999,14.14307354,1975,3883608.00000000,7.82055499,0
1644969600000,0.00000204,0.00000205,0.00000199,0.00000204,7182036.00000000,1645055999999,14.49321025,2132,3806685.00000000,7.69935722,0
1645056000000,0.00000204,0.00000208,0.00000200,0.00000206,5057816.00000000,1645142399999,10.33320678,1849,3147755.00000000,6.44975939,0
1645142400000,0.00000206,0.00000211,0.00000202,0.00000205,6912096.00000000,1645228799999,14.20973627,2662,3639417.00000000,7.47927559,0
1645228800000,0.00000204,0.00000207,0.00000202,0.00000204,2876460.00000000,1645315199999,5.87961694,1142,1849544.00000000,3.78453980,0
1645315200000,0.00000204,0.00000208,0.00000202,0.00000206,6185808.00000000,1645401599999,12.64653793,1897,3341805.00000000,6.84533981,0
1645401600000,0.00000206,0.00000224,0.00000187,0.00000188,21578779.00000000,1645487999999,44.29115278,5901,9393003.00000000,19.49460742,0
1645488000000,0.00000188,0.00000190,0.00000177,0.00000189,20809205.00000000,1645574399999,37.75877204,4594,10640209.00000000,19.31829117,0
1645574400000,0.00000190,0.00000200,0.00000185,0.00000189,10945809.00000000,1645660799999,20.94105656,3152,5872057.00000000,11.25474900,0
1645660800000,0.00000189,0.00000196,0.00000175,0.00000179,21697763.00000000,1645747199999,39.25282658,4714,10837194.00000000,19.66042077,0
1645747200000,0.00000179,0.00000213,0.00000175,0.00000199,35790081.00000000,1645833599999,70.50023352,8916,19621259.00000000,38.59852918,0
1645833600000,0.00000200,0.00000208,0.00000197,0.00000204,8404683.00000000,1645919999999,17.03200044,1994,3966569.00000000,8.06346129,0
1645920000000,0.00000203,0.00000204,0.00000197,0.00000200,5702380.00000000,1646006399999,11.39661075,1602,2576860.00000000,5.17089944,0
1646006400000,0.00000201,0.00000204,0.00000192,0.00000199,6636711.00000000,1646092799999,13.13813962,2036,4014642.00000000,7.96749433,0
1646092800000,0.00000198,0.00000206,0.00000192,0.00000195,4593499.00000000,1646179199999,9.05752155,1493,2443850.00000000,4.83426544,0
1646179200000,0.00000194,0.00000202,0.00000188,0.00000192,9299808.00000000,1646265599999,18.09301770,2159,4595698.00000000,8.96126797,0
1646265600000,0.00000193,0.00000198,0.00000190,0.00000196,3266541.00000000,1646351999999,6.36512995,1070,2030348.00000000,3.95876240,0
1646352000000,0.00000196,0.00000205,0.00000193,0.00000202,4217177.00000000,1646438399999,8.36158160,1208,2583300.00000000,5.13721911,0
1646438400000,0.00000202,0.00000206,0.00000200,0.00000205,3937102.00000000,1646524799999,7.99046968,1030,1847342.00000000,3.76370665,0
