numberofiteration,timeforexact_eigensolver
592,0.01748399999999961
593,0.016661000000000925
594,0.017254999999998688
595,0.016670000000001295
596,0.017846999999999724
597,0.016287000000000162
598,0.017260999999999527
599,0.015121999999999858
600,0.014693000000001177
601,0.015218000000000842
602,0.014955999999999747
603,0.01484400000000008
604,0.015190999999999732
605,0.01472400000000107
606,0.01467899999999922
607,0.014839000000000269
608,0.01469200000000015
609,0.014767000000000863
610,0.015025000000001398
611,0.014964000000000865
612,0.01474300000000106
613,0.014756000000000213
614,0.014479999999998938
615,0.015420000000000655
616,0.014882000000000062
617,0.015140999999999849
618,0.015337999999999852
619,0.015652999999998585
620,0.016377000000000308
621,0.01473600000000097
622,0.01580900000000085
623,0.016802999999999457
624,0.01640500000000067
625,0.01980499999999985
626,0.016079999999998762
627,0.015282000000000906
628,0.014901000000000053
629,0.018489000000000644
630,0.015530000000000044
631,0.017231999999999914
632,0.017571000000000225
633,0.01656700000000022
634,0.016902999999999224
635,0.017267000000000365
636,0.01735600000000126
637,0.02044800000000002
638,0.02178999999999931
639,0.023747000000000185
640,0.02277800000000063
641,0.02370400000000039
642,0.02690699999999957
643,0.02477900000000055
644,0.023574999999999235
645,0.023289000000000115
646,0.02272099999999888
647,0.021187000000001177
648,0.019494999999999152
649,0.019574999999999676
650,0.019555999999999685
651,0.019133000000000067
652,0.01640000000000086
653,0.016169000000001432
654,0.01589899999999922
655,0.01593100000000014
656,0.016320999999999586
657,0.01621899999999954
658,0.015375000000000583
659,0.014504999999999768
660,0.014554999999999652
661,0.014704999999999302
662,0.01534100000000116
663,0.015114999999999768
664,0.014106999999999204
665,0.01427100000000081
666,0.014008999999999716
667,0.014639999999999986
668,0.014293000000000333
669,0.014412999999999343
670,0.013987000000000194
671,0.014045000000001195
672,0.013906000000000418
673,0.014103999999999672
674,0.013949000000000211
675,0.01408200000000015
676,0.013925999999999661
677,0.01419499999999907
678,0.013924000000001158
679,0.013996999999999815
680,0.014003000000000654
681,0.013985999999999166
682,0.01390499999999939
683,0.014005000000000933
684,0.013955999999998525
685,0.014932999999999197
686,0.014842999999999051
687,0.01487400000000072
688,0.014044999999999419
689,0.014154999999998807
690,0.014763000000000304
691,0.014872999999999692
692,0.014851999999999421
693,0.014925000000001631
694,0.015075999999998757
695,0.014831000000000927
696,0.015326999999999202
697,0.015100999999999587
698,0.014846000000000359
699,0.014808999999999628
700,0.014860999999999791
701,0.0146809999999995
702,0.01453799999999994
703,0.015123000000000886
704,0.014668999999999599
705,0.0148539999999997
706,0.014877000000000251
707,0.014813999999999439
708,0.014969999999999928
709,0.015438000000001395
710,0.015161000000000868
711,0.016156999999999755
712,0.014962999999999838
713,0.01596200000000003
714,0.014811000000001684
715,0.015109999999999957
716,0.015046999999999144
717,0.015067000000000164
718,0.015114000000000516
719,0.01637999999999984
720,0.016881999999998953
721,0.015822000000000003
722,0.015278999999999598
723,0.015366999999999464
724,0.01485300000000045
725,0.014639999999999986
726,0.014656999999999698
727,0.014320000000001443
728,0.014405000000000001
729,0.015093000000000245
730,0.014917999999997988
731,0.01429600000000164
732,0.013988000000001222
733,0.014462999999999226
734,0.01421799999999962
735,0.014777999999999736
736,0.014552999999999372
737,0.014563000000002546
738,0.01434499999999872
739,0.014474999999997351
740,0.014752999999998906
741,0.014247999999998484
742,0.014034999999999798
743,0.014464000000000254
744,0.014050999999998481
745,0.014209999999998502
746,0.014442999999999984
747,0.014734999999998166
748,0.014824000000000837
749,0.014965000000000117
750,0.014679000000000997
751,0.014960999999999558
752,0.014779000000000764
753,0.015455000000002883
754,0.014624000000001303
755,0.01495100000000349
756,0.014942999999998818
757,0.014825000000001864
758,0.01527099999999848
759,0.01566800000000157
760,0.015102999999999867
761,0.014886999999998096
762,0.014466999999999786
763,0.014345000000002273
764,0.014925999999999107
765,0.014461000000000723
766,0.014204999999996915
767,0.014351000000001335
768,0.014115000000000322
769,0.014077999999997814
770,0.015138999999997793
771,0.014907000000000892
772,0.014435999999999893
773,0.01458600000000132
774,0.014452999999999605
775,0.014922999999999575
776,0.014448999999999046
777,0.014378000000000668
778,0.014075000000001836
779,0.014233000000000828
780,0.014276999999999873
781,0.014260000000000161
782,0.014360999999997404
783,0.015056999999998766
784,0.014530000000000598
785,0.01465999999999923
786,0.014524999999999011
787,0.015489999999999782
788,0.015069000000000443
789,0.014520000000000977
790,0.014658999999998201
791,0.014683999999999031
792,0.014775000000000205
793,0.014323000000000974
794,0.01439099999999982
795,0.014511999999999858
796,0.014431999999999334
797,0.0144270000000013
798,0.015786000000002076
799,0.016057999999997463
800,0.015577999999997871
801,0.01563900000000018
802,0.020528000000002322
803,0.01653299999999902
804,0.014841999999998023
805,0.014592000000000382
806,0.014831000000000927
807,0.015252000000000265
808,0.014617000000001212
809,0.014498999999997153
810,0.014493999999999119
811,0.01463200000000242
812,0.01430599999999771
813,0.0145079999999993
814,0.014342999999996664
815,0.014595999999997389
816,0.014307999999999765
817,0.014496000000001175
818,0.014260000000000161
819,0.015257999999999328
820,0.015563000000000216
821,0.015166999999998154
822,0.014576000000001699
823,0.01463200000000242
824,0.014692999999997625
825,0.015350999999999004
826,0.015109999999999957
827,0.014810000000000656
828,0.015077999999999037
829,0.015446000000000737
830,0.01495999999999853
831,0.015029999999999433
832,0.014120999999999384
833,0.014184000000000196
834,0.014173999999997022
835,0.014339999999997133
836,0.014367000000000019
837,0.014977000000001794
838,0.014659000000001754
839,0.014587999999999823
840,0.014347999999998251
841,0.014306999999998737
842,0.014046000000000447
843,0.014108000000000231
844,0.014119999999998356
845,0.014053000000000537
846,0.014002000000001402
847,0.014075999999999311
848,0.014016000000001583
849,0.014247999999998484
850,0.014483000000002022
851,0.01495299999999844
852,0.015136000000001815
853,0.015032999999998964
854,0.01509399999999772
855,0.015808999999997297
856,0.014789000000000385
857,0.016355000000000786
858,0.01528199999999913
859,0.01525100000000279
860,0.015366000000000213
861,0.015529000000000792
862,0.015190999999997956
863,0.016189000000000675
864,0.015405000000001223
865,0.014925000000001631
866,0.014685000000000059
867,0.014827000000000368
868,0.014555000000001428
869,0.01433799999999863
870,0.014928000000001163
871,0.015612999999998323
872,0.0146349999999984
873,0.015007999999998134
874,0.014776000000001233
875,0.015305000000001456
876,0.015266000000000446
877,0.014981999999999829
878,0.014806000000000097
879,0.015626000000001028
880,0.014399000000000939
881,0.014327999999999008
882,0.014352999999999838
883,0.014502000000000237
884,0.014216000000001117
885,0.014422999999997188
886,0.014501000000002762
887,0.01428200000000146
888,0.015246999999998678
889,0.014880000000001559
890,0.014695999999997156
891,0.014551999999998344
892,0.014629999999996812
893,0.014316999999998359
894,0.014129000000000502
895,0.014261999999998665
896,0.014136000000000593
897,0.014267999999997727
898,0.01522600000000196
899,0.015131000000000228
900,0.01478400000000235
901,0.014777999999999736
902,0.014521000000002005
903,0.014777999999999736
904,0.01399499999999776
905,0.01405199999999951
906,0.01471300000000042
907,0.014753000000002459
908,0.01439500000000038
909,0.014516999999997893
910,0.014466999999999786
911,0.014143999999998158
912,0.013846000000000913
913,0.01404099999999886
914,0.014074000000000808
915,0.014096999999999582
916,0.013937999999999562
917,0.014254000000001099
918,0.014030000000001763
919,0.014316000000000884
920,0.014349999999996754
921,0.01447700000000296
922,0.014209000000001026
923,0.014577000000002727
924,0.014372999999999081
925,0.01473100000000116
926,0.01441300000000112
927,0.015195999999999543
928,0.014658000000000726
929,0.014756999999999465
930,0.014031999999996714
931,0.013995999999998787
932,0.014095999999998554
933,0.014347999999998251
934,0.014039000000000357
935,0.014243999999997925
936,0.014037999999999329
937,0.014665000000000816
938,0.014151999999999276
939,0.014124999999999943
940,0.01388899999999893
941,0.014538999999999191
942,0.014399999999998414
943,0.014468999999998289
944,0.015012999999999721
945,0.014654000000000167
946,0.014245999999999981
947,0.014182999999999168
948,0.014071000000001277
949,0.014198999999997852
950,0.014160000000000394
951,0.014710000000000889
952,0.014508000000002852
953,0.014410000000001588
954,0.014237000000001387
955,0.01413700000000162
956,0.014377000000003193
957,0.014189999999999259
958,0.013916999999999291
959,0.01506700000000194
960,0.01452899999999957
961,0.01439500000000038
962,0.013943000000001149
963,0.014928000000001163
964,0.014353999999997313
965,0.014281000000000432
966,0.014190000000002811
967,0.014247000000001009
968,0.013956000000000301
969,0.01407299999999978
970,0.013875999999999777
971,0.014132999999997509
972,0.014136999999998068
973,0.01427500000000137
974,0.014025000000000176
975,0.014484999999996973
976,0.01502400000000037
977,0.01501700000000028
978,0.014201999999997383
979,0.014393999999999352
980,0.0143810000000002
981,0.014556999999999931
982,0.01428799999999697
983,0.014124999999999943
984,0.013936000000001059
985,0.014196000000001874
986,0.013945000000003205
987,0.014162999999999926
988,0.014088999999998464
989,0.014127999999999474
990,0.013892999999999489
991,0.014056000000000068
992,0.013958999999999833
993,0.014215999999997564
994,0.014920000000000044
995,0.014791999999999916
996,0.01440200000000047
997,0.014686000000001087
998,0.014478000000000435
999,0.01578800000000058
1000,0.01478299999999777
